# - 2012式： WJ[汉字省份][4位编号][警种]

0,内卫部队
1,内卫部队
2,内卫部队
3,内卫部队
4,内卫部队
5,内卫部队
6,内卫部队
7,内卫部队
8,内卫部队
9,内卫部队

X,消防部队
B,边防部队
T,交通部队
S,森林部队
H,黄金部队
J,警卫部队
D,水电部队
